caso_id,llamado_fecha_hora,llamado_provincia,llamante_edad,llamante_genero,llamante_vinculo,caso_judicializado,hecho_lugar,victima_a_resguardo,victima_edad,victima_genero,victima_nacionalidad,victima_vinculo_agresor,victima_discapacidad,victima_convive_agresor,vs_violacion_via_vaginal,vs_violacion_via_anal,vs_violacion_via_oral,vs_tentativa_violacion,vs_tocamiento_sexual,vs_intento_tocamiento,vs_Intento_violación_tercera_persona,vs_grooming,vs_exhibicionismo,vs_amenazas_verbales_contenido_sexual,vs_explotacion_sexual,vs_explotacion_sexual_comercial,vs_explotacion_sexual_viajes_turismo,vs_sospecha_trata_personas_fines_sexuales,vs_existencia_facilitador_corrupcion_nnya,vs_obligacion_sacarse_fotos_pornograficas,vs_eyaculacion_partes_cuerpo,vs_acoso_sexual,vs_iniciacion_sexual_forzada_inducida,vs_otra_forma_violencia_sexual,vs_no_sabe_no_contesta,ofv_sentimiento_amenaza,ofv_amenaza_explicita,ofv_violencia_fisica,ofv_intento_ahorcar,ofv_intento_quemar,ofv_intento_ahogar,ofv_amenaza_muerte,ofv_uso_sustancias_psicoactivas,ofv_intento_privacion_libertad,ofv_privacion_libertad,ofv_uso_arma_blanca,ofv_uso_arma_fuego,ofv_enganio_seduccion,ofv_intento_matar,ofv_uso_animal_victimizar,ofv_grooming,ofv_otra_forma_violencia,ofv_no_sabe_no_contesta,llamado_provincia_indec_id
,2019-01-07 19:30:24,Mendoza,35,Femenino,Familiar,NO,Vivienda del Agresor,SI,9,Femenino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,50
,2019-01-07 19:32:08,Buenos Aires,26,Masculino,Familiar,NO,Vivienda de la Víctima,NO,11,Femenino,NS/NC,Otro pariente,NS/NC,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-07 19:35:49,Córdoba,40,Femenino,Víctima,NO,NS/NC,SI,40,Femenino,Argentina,Otro pariente,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,14
,2019-01-07 19:41:23,Buenos Aires,30,Masculino,Otro conocido,NO,Vivienda de la Víctima,SI,23,Femenino,Argentina,Hermano,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,06
,2019-01-07 19:43:06,Buenos Aires,23,Femenino,Otro conocido,NO,NS/NC,SI,Sin Datos,,NS/NC,NS/NC,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-07 19:46:15,Ciudad Autónoma de Buenos Aires,40,Masculino,Comisaría,SI,Vivienda del Agresor,SI,11,Masculino,Argentina,Padre,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-27 22:48:33,Córdoba,23,Masculino,Otro conocido,NO,Vivienda de la Víctima,SI,21,Femenino,Argentina,Padrastro,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,14
,2019-01-28 06:20:16,Ciudad Autónoma de Buenos Aires,35,Femenino,Comisaría,SI,Vivienda del Agresor,SI,22,Femenino,Argentina,Desconocido,SI,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-28 10:22:23,Buenos Aires,Sin dato,Masculino,Familiar,NO,NS/NC,SI,21,Masculino,Argentina,NS/NC,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-28 11:01:36,Río Negro,Sin dato,Femenino,NS/NC,Sin datos,NS/NC,SI,Sin Datos,,NS/NC,NS/NC,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,62
,2019-01-28 11:18:19,Buenos Aires,50,Masculino,Familiar,SI,Otro(Especificar en observaciones),SI,21,Femenino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-28 11:24:17,Santa Fé,Sin dato,Femenino,Familiar,SI,NS/NC,SI,Sin Datos,Femenino,Argentina,Padre,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,82
,2019-01-28 11:51:14,Buenos Aires,Sin dato,Femenino,Familiar,SI,NS/NC,SI,5,Femenino,Argentina,Abuela,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-28 12:12:18,Buenos Aires,40,Femenino,Víctima,NO,Otro(Especificar en observaciones),SI,40,Femenino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-01 18:19:40,Ciudad Autónoma de Buenos Aires,40,Femenino,Familiar,SI,Vivienda del Agresor,NO,12,Femenino,Argentina,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-01 19:07:36,Ciudad Autónoma de Buenos Aires,Sin dato,Femenino,Comisaría,SI,Calle,SI,28,Femenino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",NS/NC,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-01 22:53:53,Buenos Aires,37,Masculino,Padre,SI,Vivienda del Agresor,SI,9,Femenino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-01 23:52:54,Ciudad Autónoma de Buenos Aires,Sin dato,Masculino,Comisaría,SI,NS/NC,SI,54,Femenino,NS/NC,Ex pareja de la víctima,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-02 10:23:58,Ciudad Autónoma de Buenos Aires,Sin dato,Masculino,Comisaría,NO,Vivienda de la Víctima,SI,49,Masculino,Boliviana,Padre,NS/NC,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-02 11:23:25,Buenos Aires,42,Masculino,Padre,SI,NS/NC,SI,13,Femenino,Argentina,Tío,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-02 11:54:42,Buenos Aires,Sin dato,Femenino,Madre,Sin datos,Vivienda de la Víctima,SI,Sin Datos,Femenino,Argentina,Tío,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-02 12:17:03,Jujuy,35,Femenino,Familiar,NO,Vivienda de la Víctima,SI,Sin Datos,Femenino,Argentina,Padrastro,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,38
,2019-01-02 15:13:25,Tucumán,15,Femenino,Víctima,Sin datos,Vivienda de la Víctima,SI,15,Femenino,Argentina,Desconocido,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,90
,2019-01-02 15:29:18,Buenos Aires,50,Femenino,Familiar,NO,Vivienda de la Víctima,NO,11,Femenino,Argentina,Padre,NS/NC,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-02 15:29:42,NS/NC,Sin dato,Femenino,Madre,Sin datos,Vivienda de la Víctima,SI,5,Femenino,Argentina,Tío,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,
,2019-01-02 16:45:36,Ciudad Autónoma de Buenos Aires,Sin dato,Masculino,Comisaría,SI,Vivienda del Agresor,SI,19,Femenino,NS/NC,"Conocido no familiar (Amigo, vecino, entre otros)",NS/NC,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-02 17:05:34,Córdoba,35,Femenino,Víctima,SI,NS/NC,SI,35,Femenino,Argentina,Tío,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,14
,2019-01-02 17:05:34,Córdoba,35,Femenino,Víctima,SI,NS/NC,SI,30,Masculino,Argentina,Tío,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,14
,2019-01-02 17:05:34,Córdoba,35,Femenino,Víctima,SI,NS/NC,SI,30,Masculino,Argentina,Tío,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,14
,2019-01-02 18:17:01,Ciudad Autónoma de Buenos Aires,33,Femenino,Madre,NO,Vivienda del Agresor,SI,5,Masculino,Argentina,Tío,NS/NC,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,02
,2019-01-02 19:06:59,Córdoba,41,Femenino,Víctima,NO,Vivienda del Agresor,SI,41,Femenino,Argentina,Padre,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,14
,2019-01-02 19:44:49,Ciudad Autónoma de Buenos Aires,30,Masculino,Comisaría,SI,Vivienda de la Víctima,SI,45,Femenino,Argentina,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-02 21:09:24,Ciudad Autónoma de Buenos Aires,Sin dato,Masculino,Familiar,NO,Vivienda de la Víctima,SI,16,Masculino,NS/NC,"Conocido no familiar (Amigo, vecino, entre otros)",NS/NC,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-02 21:29:47,Mendoza,Sin dato,Masculino,Familiar,NO,Vivienda de un familiar,SI,16,Femenino,NS/NC,Tío,NS/NC,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,50
,2019-01-02 23:17:36,Ciudad Autónoma de Buenos Aires,37,Femenino,Víctima,SI,Calle,SI,37,Femenino,Argentina,Desconocido,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-02 23:38:25,Buenos Aires,39,Femenino,Familiar,NO,NS/NC,SI,15,Femenino,NS/NC,Otro pariente,NS/NC,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-03 00:09:41,Ciudad Autónoma de Buenos Aires,Sin dato,Femenino,Comisaría,SI,NS/NC,SI,16,Femenino,NS/NC,NS/NC,SI,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-03 00:09:41,Ciudad Autónoma de Buenos Aires,Sin dato,Masculino,Comisaría,SI,NS/NC,SI,16,Masculino,Argentina,"Conocido no familiar (Amigo, vecino, entre otros)",SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-03 06:29:25,Ciudad Autónoma de Buenos Aires,43,Femenino,Madre,NO,Vivienda del Agresor,SI,17,Femenino,Argentina,Otro pariente,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-03 06:29:25,Ciudad Autónoma de Buenos Aires,43,Femenino,Madre,NO,Vivienda del Agresor,SI,18,Femenino,Argentina,Otro pariente,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-03 11:03:01,Chaco,27,Femenino,Víctima,NO,Vivienda de la Víctima,SI,27,Femenino,Argentina,Hermano,NS/NC,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,22
,2019-01-03 11:03:01,Chaco,27,Femenino,Víctima,NO,Vivienda de la Víctima,SI,16,Femenino,Argentina,Hermano,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,22
,2019-01-03 11:04:56,Ciudad Autónoma de Buenos Aires,Sin dato,Masculino,Comisaría,SI,NS/NC,SI,16,Femenino,Argentina,Padre,SI,NS/NC,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-03 12:50:19,Buenos Aires,Sin dato,Femenino,Madre,SI,NS/NC,SI,10,Femenino,Argentina,Padrastro,NS/NC,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-03 12:50:19,Buenos Aires,Sin dato,Femenino,Madre,SI,NS/NC,SI,14,Femenino,Argentina,Padrastro,NS/NC,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,06
,2019-01-03 12:57:30,Buenos Aires,Sin dato,Masculino,Familiar,SI,Vivienda de la Víctima,SI,8,Femenino,Argentina,Padrastro,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-03 13:32:58,Ciudad Autónoma de Buenos Aires,Sin dato,Femenino,Hospital,NO,Otro(Especificar en observaciones),SI,5,Femenino,Argentina,Padrastro,NS/NC,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,02
,2019-01-03 14:46:11,Buenos Aires,32,Femenino,Víctima,SI,NS/NC,SI,32,Femenino,Peruana,Desconocido,NS/NC,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-03 15:40:29,NS/NC,26,Femenino,Víctima,NO,NS/NC,SI,26,Femenino,Argentina,NS/NC,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,
,2019-01-03 16:41:37,Ciudad Autónoma de Buenos Aires,Sin dato,Femenino,Hospital,NO,NS/NC,SI,11,Femenino,Argentina,Otro pariente,NS/NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,02
,2019-01-03 17:31:35,Buenos Aires,Sin dato,Masculino,Familiar,NO,Vivienda de la Víctima,SI,13,Femenino,Argentina,Padre,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
,2019-01-03 17:31:35,Buenos Aires,Sin dato,Masculino,Familiar,NO,Vivienda de la Víctima,SI,Sin Datos,Masculino,Argentina,Otro pariente,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,06
